name,value,unit,source,scope
discount_rate,0.08,доля в год,TEAM_ASSUMPTION: реальная ставка для инфраструктурных проектов; одна для всех альтернатив (docs/organizer/CALCULATION_RULES.md §9),"financial_breakdown.pv_mln, totals.pv_total_mln"
discount_base_year,2035,год,"TEAM_ASSUMPTION: приведение к началу горизонта, цены постоянные 2035 года (data/README.md)",financial_breakdown.discount_factor
earth_new_commissioning_months,24,месяцев после 1 января года исполнения опциона,CASE_INPUT даёт 18–24 мес; взята верхняя граница как консервативная (data/investment_options.csv),доступность канала C Earth-New
isru_lead_months,2,месяцев после ввода,CASE_INPUT даёт 1–2 мес после ввода; взята верхняя граница (data/supply_sources.csv),первый месяц поставок канала D Lunar-ISRU
zbo_commissioning,same_year,,TEAM_ASSUMPTION: модернизация действует с 1 января года оплаты; опция доступна с 2036 (data/storage_options.csv),ёмкость и потери хранилища
emergency_wait_days,42,дней,CASE_INPUT: lead time Emergency 6 недель = 42 дня (data/supply_sources.csv),зачёт брони Emergency в 45-дневный резерв: физический запас должен покрывать эти дни
emergency_base_rule,largest_share,,"TEAM_ASSUMPTION: Emergency считается основным каналом года, если его фактическая поставка не меньше поставки любого другого канала",EMERGENCY_BASE_STREAK
intra_year_profile,uniform,,TEAM_ASSUMPTION: спрос и поставки распределены равномерно по 12 месяцам; внутренний шаг модели — месяц (CALCULATION_RULES.md §10),"monthly_trace, потери, хранение, переполнение"
weeks_per_month,4.3333,недель,TEAM_ASSUMPTION: 52 недели / 12 месяцев для перевода срока Emergency в месяцы,source_schedule.order_by
variable_payment_basis,actual_delivery,,"TEAM_ASSUMPTION: переменная плата начисляется на фактически поступивший объём, минимум take-or-pay — на бронь (CALCULATION_RULES.md §5)",source_schedule.payable_volume_t
holding_cost_basis,monthly_average,,"CALCULATION_RULES.md §8: средний физический запас с учётом времени; считается как среднее начала и конца каждого месяца × 0,72 / 12",financial_breakdown.holding_mln
initial_stock_pricing,source_price,,"TEAM_ASSUMPTION: стартовый запас закуплен до горизонта по цене указанного канала, оплата в 2035, в CAPEX не входит",financial_breakdown.initial_stock_mln
